Type,Source,Source Segments,Destination,Destination Segments,Size (Bytes),Alt Text,Anchor,Status Code,Status,Crawlability,Follow,Target,Rel,Path Type,Link Path,Link Position,Link Origin
Hyperlink,https://reviews-microsite.example.net/s2/,s2,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Path-Relative,//body/a,Content,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/,s2,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/a,Header,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/,s2,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/a[@class='nav-home'],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p06/,s2/p01/p06,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/a,Header,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p06/,s2/p01/p06,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/a[@class='nav-home'],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p06/,s2/p01/p06,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/div/main/article/div/nav/ol/li[1]/a,Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/,s2/p11,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/a,Header,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/,s2/p11,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/a[@class='nav-home'],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/,s2/p11,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/div/main/article/div[@class='page-context']/nav/ol/li[1]/a,Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p04/p01/,s2/p04/p01,https://reviews-microsite.example.net/s2/,s2,72981,"",link to s2,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/a,Header,HTML & Rendered HTML
