Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status,Canonical Link Element 1,Redirect URL,Redirect Type,Meta Robots 1,X-Robots-Tag 1,Language,Crawl Timestamp,Last Modified,Size (Bytes),Word Count,Inlinks,Unique Inlinks,Outlinks,Unique Outlinks,Response Time
https://reviews-microsite.example.net/s2/,s2,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/,"","","","",en-us,2026-07-06 10:29:21,"",72981,2120,186,62,109,59,0.416
https://reviews-microsite.example.net/s1/p01/p04.woff2,s1/p01/p04.woff2,font/woff2,200,"",Indexable,"","","","","","","",2026-07-06 10:29:21,"",10056,0,0,0,0,0,0.073
https://reviews-microsite.example.net/s1/p01/p07.woff2,s1/p01/p07.woff2,font/woff2,200,"",Indexable,"","","","","","","",2026-07-06 10:29:21,"",40472,0,0,0,0,0,0.074
https://reviews-microsite.example.net/s1/p04.css?q=1-1,s1/p04.css,text/css; charset=utf-8,200,"",Indexable,"","","","","","","",2026-07-06 10:29:21,"",30941,0,0,0,0,0,0.107
https://reviews-microsite.example.net/s1/p01/p02.woff2,s1/p01/p02.woff2,font/woff2,200,"",Indexable,"","","","","","","",2026-07-06 10:29:21,"",9988,0,0,0,0,0,0.063
https://reviews-microsite.example.net/s1/p02.js?q=1,s1/p02.js,application/javascript,200,"",Indexable,"","","","","","","",2026-07-06 10:29:21,"",5117,0,0,0,0,0,0.105
https://reviews-microsite.example.net/s1/p01/p06.woff2,s1/p01/p06.woff2,font/woff2,200,"",Indexable,"","","","","","","",2026-07-06 10:29:22,"",25852,0,0,0,0,0,0.070
https://reviews-microsite.example.net/s2/p01/p06/,s2/p01/p06,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p06/,"","","","",en-us,2026-07-06 10:29:37,"",31001,692,130,62,56,44,0.234
https://reviews-microsite.example.net/s2/p11/,s2/p11,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p11/,"","","","",en-us,2026-07-06 10:29:37,"",50011,801,68,62,53,42,0.216
https://reviews-microsite.example.net/s2/p04/p01/,s2/p04/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p04/p01/,"","","","",en-us,2026-07-06 10:29:37,"",33420,780,6,4,56,45,0.212
https://reviews-microsite.example.net/s2/p02/p01/,s2/p02/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p01/,"","","","",en-us,2026-07-06 10:29:37,"",61518,2360,66,62,55,42,0.226
https://reviews-microsite.example.net/s2/p07/p06/,s2/p07/p06,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p06/,"","","","",en-us,2026-07-06 10:29:37,"",53517,1299,68,62,56,42,0.247
https://reviews-microsite.example.net/s2/p01/p07/,s2/p01/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p07/,"","","","",en-us,2026-07-06 10:29:50,"",30296,699,126,62,54,42,0.235
https://reviews-microsite.example.net/s2/p02/p02/,s2/p02/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p02/,"","","","",en-us,2026-07-06 10:29:50,"",61515,2295,67,62,55,42,0.203
https://reviews-microsite.example.net/s2/p02/p06/,s2/p02/p06,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p06/,"","","","",en-us,2026-07-06 10:29:50,"",65491,2750,64,62,55,42,0.208
https://reviews-microsite.example.net/s2/p02/p05/,s2/p02/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p05/,"","","","",en-us,2026-07-06 10:29:50,"",62640,2401,67,62,53,42,0.287
https://reviews-microsite.example.net/s2/p11/p02/,s2/p11/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p11/p02/,"","","","",en-us,2026-07-06 10:29:56,"",56636,1753,65,62,66,42,0.162
https://reviews-microsite.example.net/s2/p07/p01/,s2/p07/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p01/,"","","","",en-us,2026-07-06 10:30:01,"",52596,1242,66,62,55,42,0.459
https://reviews-microsite.example.net/s2/p08/p02/,s2/p08/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p02/,"","","","",en-us,2026-07-06 10:30:03,"",51718,1266,65,62,59,42,0.803
https://reviews-microsite.example.net/s2/p08/p04/,s2/p08/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p04/,"","","","",en-us,2026-07-06 10:30:03,"",54550,1608,68,62,56,42,0.435
https://reviews-microsite.example.net/s2/p03/p06/,s2/p03/p06,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/p06/,"","","","",en-us,2026-07-06 10:30:06,"",33054,1036,4,4,54,46,0.558
https://reviews-microsite.example.net/s2/p05/p01/,s2/p05/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p05/p01/,"","","","",en-us,2026-07-06 10:30:10,"",30020,502,3,3,56,48,0.286
https://reviews-microsite.example.net/s2/p05/p02/,s2/p05/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p05/p02/,"","","","",en-us,2026-07-06 10:30:18,"",27142,256,5,5,52,44,0.234
https://reviews-microsite.example.net/s2/p03/p07/,s2/p03/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/p07/,"","","","",en-us,2026-07-06 10:30:18,"",34884,1247,3,3,56,46,0.217
https://reviews-microsite.example.net/s2/p07/p07/,s2/p07/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p07/,"","","","",en-us,2026-07-06 10:30:18,"",53819,1491,68,62,59,43,0.279
https://reviews-microsite.example.net/s2/p11/p03/,s2/p11/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p11/p03/,"","","","",en-us,2026-07-06 10:30:24,"",55169,1607,65,62,59,42,0.197
https://reviews-microsite.example.net/s2/p12/p03/,s2/p12/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p12/p03/,"","","","",en-us,2026-07-06 10:30:24,"",40655,852,9,7,58,47,0.426
https://reviews-microsite.example.net/s1/p03/p03.webp,s1/p03/p03.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",866,0,0,0,0,0,0.080
https://reviews-microsite.example.net/s1/p03/p10.webp,s1/p03/p10.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",1430,0,0,0,0,0,0.108
https://reviews-microsite.example.net/s1/p03/p08.webp,s1/p03/p08.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",2266,0,0,0,0,0,0.107
https://reviews-microsite.example.net/s1/p03/p05.webp,s1/p03/p05.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",2362,0,0,0,0,0,0.096
https://reviews-microsite.example.net/s1/p03/p11.webp,s1/p03/p11.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",1938,0,0,0,0,0,0.139
https://reviews-microsite.example.net/s1/p03/p02.webp,s1/p03/p02.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",2406,0,0,0,0,0,0.081
https://reviews-microsite.example.net/s1/p03/p12.webp,s1/p03/p12.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-06 10:30:25,"",2390,0,0,0,0,0,0.071
