Type,Source,Source Segments,Destination,Destination Segments,Size (Bytes),Alt Text,Anchor,Status Code,Status,Crawlability,Follow,Target,Rel,Path Type,Link Path,Link Position,Link Origin
HTML Canonical,https://reviews-microsite.example.net/s2/p02/p07/,s2/p02/p07,https://reviews-microsite.example.com/s2/p02/p07/,s2/p02/p07,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[1],Head,HTML & Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p02/p07/,s2/p02/p07,https://reviews-microsite.example.com/s2/p02/p07/,s2/p02/p07,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[2],Head,Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p02/p07/,s2/p02/p07,https://reviews-microsite.example.com/s2/p02/p07/,s2/p02/p07,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[3],Head,Rendered HTML
HTML Canonical,https://reviews-microsite.example.net/s2/p06/p02/,s2/p06/p02,https://reviews-microsite.example.com/s2/p06/p02/,s2/p06/p02,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[1],Head,HTML & Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p06/p02/,s2/p06/p02,https://reviews-microsite.example.com/s2/p06/p02/,s2/p06/p02,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[2],Head,Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p06/p02/,s2/p06/p02,https://reviews-microsite.example.com/s2/p06/p02/,s2/p06/p02,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[3],Head,Rendered HTML
HTML Canonical,https://reviews-microsite.example.net/s2/p08/p05/,s2/p08/p05,https://reviews-microsite.example.com/s2/p08/p05/,s2/p08/p05,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[1],Head,HTML & Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p08/p05/,s2/p08/p05,https://reviews-microsite.example.com/s2/p08/p05/,s2/p08/p05,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[2],Head,Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p08/p05/,s2/p08/p05,https://reviews-microsite.example.com/s2/p08/p05/,s2/p08/p05,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[3],Head,Rendered HTML
HTML Canonical,https://reviews-microsite.example.net/s2/p06/p03/,s2/p06/p03,https://reviews-microsite.example.com/s2/p06/p03/,s2/p06/p03,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[1],Head,HTML & Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p06/p03/,s2/p06/p03,https://reviews-microsite.example.com/s2/p06/p03/,s2/p06/p03,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[2],Head,Rendered HTML
HTML Hreflang,https://reviews-microsite.example.net/s2/p06/p03/,s2/p06/p03,https://reviews-microsite.example.com/s2/p06/p03/,s2/p06/p03,0,"","",0,DNS lookup failed,Crawlable,true,"","",Absolute,//head/link[3],Head,Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/,s2,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/,s2,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/div/div/main/article/p[19]/a[3],Content,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/,s2/p11,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p06/,s2/p01/p06,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p03/p04/,s2/p03/p04,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p02/p01/,s2/p02/p01,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p07/,s2/p01/p07,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p07/p06/,s2/p07/p06,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p02/p06/,s2/p02/p06,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p02/p05/,s2/p02/p05,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p07/p01/,s2/p07/p01,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/p02/,s2/p11/p02,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p08/p02/,s2/p08/p02,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p08/p04/,s2/p08/p04,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p03/p06/,s2/p03/p06,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p05/p01/,s2/p05/p01,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p03/p07/,s2/p03/p07,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p05/p02/,s2/p05/p02,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p07/p07/,s2/p07/p07,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p11/p03/,s2/p11/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p12/p03/,s2/p12/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p06/,s2/p06,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p03/p03/,s2/p03/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p02/p04/,s2/p02/p04,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p08/,s2/p08,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p09/,s2/p09,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p02/p03/,s2/p02/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p01/p03/,s2/p01/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p07/p03/,s2/p07/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p07/p03/,s2/p07/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/div/main/article/p[16]/a[2],Content,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p04/p03/,s2/p04/p03,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
Hyperlink,https://reviews-microsite.example.net/s2/p05/p04/,s2/p05/p04,https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,51770,"",link to p05,200,"",Crawlable,true,"","",Root-Relative,//body/header/div/nav/div[@class='nav-item'][4]/div/div/a[7],Navigation,HTML & Rendered HTML
