Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status,Canonical Link Element 1,Redirect URL,Redirect Type,Meta Robots 1,X-Robots-Tag 1,Language,Crawl Timestamp,Last Modified,Size (Bytes),Word Count,Inlinks,Unique Inlinks,Outlinks,Unique Outlinks,Response Time
https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p05/,"","","","",en-us,2026-07-04 10:45:53,"",51770,1265,72,67,62,42,0.145
https://reviews-microsite.example.net/s2/p01/,s2/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/,"","","","",en-us,2026-07-04 10:45:45,"",34447,660,145,67,52,43,0.154
https://reviews-microsite.example.net/s1/p04.css?q=1-2,s1/p04.css,text/css; charset=utf-8,200,"",Indexable,"","","","","","","",2026-07-04 10:44:08,"",28204,0,0,0,0,0,0.073
https://reviews-microsite.example.net/s2/p08/p05/,s2/p08/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p05/,"","","","",en-us,2026-07-04 10:45:45,"",53214,1623,72,67,55,42,0.149
https://reviews-microsite.example.net/s2/p01/p05/,s2/p01/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p05/,"","","","",en-us,2026-07-04 10:45:36,"",39267,1243,139,67,53,42,0.153
https://reviews-microsite.example.net/s1/p03/p06.webp,s1/p03/p06.webp,image/webp,200,"",Indexable,"","","","","","","",2026-07-04 10:44:52,"",1290,0,0,0,0,0,0.061
https://reviews-microsite.example.net/s2/p07/,s2/p07,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/,"","","","",en-us,2026-07-04 10:45:36,"",48794,848,83,67,52,43,0.155
https://reviews-microsite.example.net/s2/p03/p01/,s2/p03/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/p01/,"","","","",en-us,2026-07-04 10:45:27,"",39822,1190,2,2,56,45,0.147
https://reviews-microsite.example.net/s2/p04/,s2/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p04/,"","","","",en-us,2026-07-04 10:45:28,"",36158,653,9,7,51,43,0.143
https://reviews-microsite.example.net/s2/p11/p01/,s2/p11/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p11/p01/,"","","","",en-us,2026-07-04 10:45:36,"",51868,1507,69,67,60,42,0.163
https://reviews-microsite.example.net/s2/p08/p03/,s2/p08/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p03/,"","","","",en-us,2026-07-04 10:45:27,"",49992,1258,75,67,54,42,0.158
https://reviews-microsite.example.net/s2/p12/,s2/p12,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p12/,"","","","",en-us,2026-07-04 10:46:22,"",32933,340,4,4,57,47,0.147
https://reviews-microsite.example.net/s1/p03/p01.webp,s1/p03/p01.webp,image/webp,200,OK,Indexable,"","","","","","","",2026-07-04 10:46:22,"",0,0,0,0,0,0,0.150
